customer_id,customer_code,customer_name,customer_type,email,phone,city,state,zip_code,country,latitude,longitude,credit_limit,is_active
1,CUST-0001,Customer 1 Wholesale,Wholesale,orders@customer1.com,555-830-4643,Jacksonville,FL,99957,USA,30.366835101544215,-81.37080294470388,237266.82,True
2,CUST-0002,Customer 2 Distributor,Distributor,orders@customer2.com,555-965-3785,Charlotte,NC,96194,USA,35.60359478434211,-81.16196414219601,302925.94,True
3,CUST-0003,Customer 3 Direct,Direct,orders@customer3.com,555-364-3999,Los Angeles,CA,99091,USA,34.45179115785086,-118.08926535564885,21514.97,True
4,CUST-0004,Customer 4 Distributor,Distributor,orders@customer4.com,555-992-6031,Houston,TX,65112,USA,30.0484904368076,-95.53848286302922,189331.17,True
5,CUST-0005,Customer 5 Distributor,Distributor,orders@customer5.com,555-220-8709,Phoenix,AZ,17035,USA,33.81479336969254,-111.99042538025742,285504.25,True
6,CUST-0006,Customer 6 Retail,Retail,orders@customer6.com,555-299-9199,San Jose,CA,25704,USA,37.70569775469823,-122.00463078019442,52499.77,True
7,CUST-0007,Customer 7 Direct,Direct,orders@customer7.com,555-974-3470,Phoenix,AZ,28004,USA,33.94074785288793,-112.231330115071,14865.58,True
8,CUST-0008,Customer 8 Direct,Direct,orders@customer8.com,555-983-3954,San Jose,CA,20592,USA,37.325780845748106,-121.7552672277373,22890.17,True
9,CUST-0009,Customer 9 Distributor,Distributor,orders@customer9.com,555-104-8406,Chicago,IL,45851,USA,41.58748236833508,-87.35625772867944,353799.59,True
10,CUST-0010,Customer 10 Wholesale,Wholesale,orders@customer10.com,555-881-2442,San Jose,CA,26961,USA,37.45267973872506,-121.75281245929742,295830.84,True
11,CUST-0011,Customer 11 Direct,Direct,orders@customer11.com,555-492-1076,San Antonio,TX,14944,USA,29.457882602842258,-98.2629409295894,96879.51,True
12,CUST-0012,Customer 12 Distributor,Distributor,orders@customer12.com,555-643-4122,New York,NY,12348,USA,40.88954814167711,-73.87931307132838,402739.1,True
13,CUST-0013,Customer 13 Wholesale,Wholesale,orders@customer13.com,555-452-6113,Houston,TX,26899,USA,29.363108223339548,-95.36646352131463,377409.9,True
14,CUST-0014,Customer 14 Wholesale,Wholesale,orders@customer14.com,555-146-5885,Phoenix,AZ,48119,USA,33.404326311968504,-112.05371158775411,126114.81,True
15,CUST-0015,Customer 15 Distributor,Distributor,orders@customer15.com,555-803-3192,Dallas,TX,54922,USA,33.272838914684826,-96.80682131541333,273466.09,True
16,CUST-0016,Customer 16 Wholesale,Wholesale,orders@customer16.com,555-931-7609,Fort Worth,TX,12506,USA,32.48391828483582,-97.10363117186367,165953.4,True
