po_item_id,po_id,product_id,quantity_ordered,quantity_received,unit_cost
1,1,141,364,351,50.2
2,2,33,18850,18668,9.8
3,2,81,2220,2155,78.5
4,3,133,1285,1275,10.64
5,3,11,4300,4102,17.56
6,3,21,5625,5407,70.86
7,3,95,2120,2083,396.39
8,3,138,4130,3978,478.15
9,4,99,6925,6849,88.07
10,4,107,2350,2320,15.47
11,4,104,316,315,15.65
12,4,115,2610,2501,15.37
13,5,13,422,405,77.02
14,6,166,7850,7523,45.21
15,6,67,1020,973,45.54
16,6,64,4990,4858,15.1
17,7,166,22200,21530,51.18
18,8,111,4600,4512,20.45
19,9,125,1040,999,112.63
20,10,173,3700,3538,13.01
21,10,59,1595,1582,204.18
22,10,80,1600,1522,263.09
23,11,171,12300,11977,90.86
24,11,26,495,483,540.82
25,11,16,945,923,31.3
26,12,81,1400,1371,74.7
27,12,150,283,277,24.99
28,13,73,1590,1561,219.79
29,13,18,8075,7796,65.27
30,13,76,5675,5527,7.67
31,13,52,4150,4109,73.5
32,13,31,6900,6661,12.84
33,14,27,645,622,47.47
34,14,28,50,48,394.63
35,14,52,10950,10866,73.5
36,14,176,226,217,16.47
37,15,49,402,400,31.07
38,15,150,436,424,23.84
39,15,112,540,533,23.81
40,15,135,22900,22090,25.65
41,15,132,8400,8314,431.62
42,16,190,7300,7085,21.36
43,16,149,3370,3275,370.65
44,16,29,1770,1695,467.38
45,16,147,4270,4194,17.39
46,16,184,474,459,95.88
47,17,118,1330,1305,19.81
48,17,164,1570,1551,18.54
49,17,59,1815,1797,193.37
50,18,30,3820,3770,14.99
51,18,21,11600,11175,70.86
52,18,195,146,144,84.86
53,19,146,198,189,225.48
54,19,178,283,277,156.72
55,20,43,3650,3526,8.7
56,20,66,1270,1209,496.9
57,20,88,8075,7680,27.72
58,21,74,1870,1788,343.8
59,22,198,1350,1298,10.61
60,22,129,635,603,29.19
61,22,118,805,778,19.81
62,22,41,1045,1033,28.84
63,23,146,287,282,235.44
64,23,160,66,63,441.79
65,23,96,24050,23750,8.89
66,23,199,620,590,83.88
67,24,175,328,319,448.36
68,24,71,148,147,180.66
69,24,134,178,176,10.44
70,24,143,23700,22529,72.91
71,25,39,2220,2217,10.86
72,25,185,880,868,13.59
73,26,88,7125,7030,29.64
74,27,99,9750,9741,81.94
75,28,137,209,208,26.6
76,28,187,3275,3214,9.24
77,28,168,3550,3504,252.14
78,28,98,1655,1615,12.24
79,29,111,9400,9070,20.45
80,29,186,5850,5817,141.66
81,29,58,492,483,8.93
82,30,67,3740,3634,45.54
83,31,81,4560,4394,74.7
84,32,135,22700,21840,25.65
85,33,103,11275,11100,25.16
86,34,150,240,237,23.68
87,34,164,885,847,16.58
88,34,41,480,472,32.14
89,34,62,5575,5555,9.38
90,34,167,2190,2148,42.95
91,35,178,380,363,156.72
92,36,106,5700,5554,25.93
93,36,172,10600,10590,53.58
94,36,88,11325,11123,28.23
95,36,127,5675,5619,16.22
96,36,188,6850,6758,96.1
97,37,78,1165,1148,5.88
98,38,54,298,293,29.28
99,38,7,16800,16207,16.91
100,38,32,4060,3956,34.9
101,39,199,1640,1586,83.88
102,39,3,10600,10318,251.97
103,39,101,24700,24491,56.71
104,39,175,490,479,448.36
105,39,153,2125,2075,23.08
106,40,87,16350,15832,206.15
107,40,178,50,49,155.92
108,40,187,7725,7485,10.32
109,41,156,9175,9109,369.62
110,41,150,447,438,23.68
111,42,161,387,386,18.97
