so_id,so_number,customer_id,warehouse_id,order_date,requested_delivery_date,actual_ship_date,status,total_amount,shipping_cost
1,SO-2024-000001,59,2,2024-01-01,2024-01-08,2024-01-04,Delivered,359395.93,69.36
2,SO-2024-000002,63,5,2024-01-01,2024-01-05,2024-01-02,Delivered,222111.3,55.63
3,SO-2024-000003,40,3,2024-01-01,2024-01-06,2024-01-05,Delivered,3081.98,75.23
4,SO-2024-000004,54,2,2024-01-01,2024-01-10,2024-01-05,Delivered,90500.46,17.74
5,SO-2024-000005,40,3,2024-01-01,2024-01-11,2024-01-03,Delivered,5806.98,49.31
6,SO-2024-000006,11,2,2024-01-01,2024-01-11,2024-01-06,Delivered,12144.16,15.97
7,SO-2024-000007,94,2,2024-01-01,2024-01-05,2024-01-03,Delivered,31837.06,85.12
8,SO-2024-000008,118,5,2024-01-01,2024-01-06,2024-01-05,Delivered,6994.61,79.11
9,SO-2024-000009,45,3,2024-01-01,2024-01-14,2024-01-05,Delivered,1005.9,73.96
10,SO-2024-000010,138,1,2024-01-01,2024-01-15,2024-01-04,Delivered,16964.08,48.37
11,SO-2024-000011,100,4,2024-01-01,2024-01-09,2024-01-06,Delivered,5990.09,78.42
12,SO-2024-000012,1,5,2024-01-01,2024-01-06,2024-01-05,Delivered,183045.98,41.28
13,SO-2024-000013,69,4,2024-01-01,2024-01-12,2024-01-06,Delivered,242.4,44.07
14,SO-2024-000014,52,3,2024-01-01,2024-01-15,2024-01-05,Delivered,60044.44,88.24
15,SO-2024-000015,18,1,2024-01-01,2024-01-10,2024-01-05,Delivered,1343.03,41.96
16,SO-2024-000016,79,4,2024-01-01,2024-01-11,2024-01-05,Delivered,2868.69,69.72
17,SO-2024-000017,92,2,2024-01-01,2024-01-08,2024-01-05,Delivered,364983.64,79.51
18,SO-2024-000018,37,3,2024-01-01,2024-01-10,2024-01-05,Delivered,668.61,60.62
19,SO-2024-000019,26,4,2024-01-01,2024-01-11,2024-01-06,Delivered,317750.39,62.54
20,SO-2024-000020,35,1,2024-01-01,2024-01-14,2024-01-02,Delivered,124850.84,41.12
21,SO-2024-000021,86,4,2024-01-01,2024-01-08,2024-01-05,Delivered,11593.17,10.27
22,SO-2024-000022,5,3,2024-01-01,2024-01-14,2024-01-05,Delivered,326004.1,96.76
23,SO-2024-000023,148,2,2024-01-01,2024-01-10,2024-01-05,Delivered,91176.57,50.39
24,SO-2024-000024,75,4,2024-01-01,2024-01-12,2024-01-05,Delivered,1517.4,20.69
25,SO-2024-000025,59,1,2024-01-01,2024-01-14,2024-01-02,Delivered,68065.43,23.49
26,SO-2024-000026,124,4,2024-01-01,2024-01-14,2024-01-02,Delivered,105424.49,52.63
27,SO-2024-000027,133,1,2024-01-01,2024-01-10,2024-01-04,Delivered,119633.38,77.14
28,SO-2024-000028,130,4,2024-01-01,2024-01-10,2024-01-04,Delivered,182439.82,11.72
29,SO-2024-000029,19,3,2024-01-02,2024-01-14,2024-01-03,Delivered,5235.34,47.19
30,SO-2024-000030,115,5,2024-01-02,2024-01-09,2024-01-05,Delivered,278186.13,23.47
31,SO-2024-000031,126,3,2024-01-02,2024-01-10,2024-01-03,Delivered,24422.1,61.37
32,SO-2024-000032,120,3,2024-01-02,2024-01-09,2024-01-04,Delivered,215369.41,96.94
33,SO-2024-000033,85,4,2024-01-02,2024-01-16,2024-01-04,Delivered,198364.42,69.29
34,SO-2024-000034,33,5,2024-01-02,2024-01-07,2024-01-04,Delivered,141640.08,78.23
